mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.103690767288208,0.001812727991356906,0.001186370849609375,0.0009719938390255999,0.05,2,100,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",-23.385604750350584,-21.201996602184774,-20.53290879298843,-23.12714849912954,-19.102410549267965,-21.470013838784258,1.6106600054320575,1
0.3283745765686035,0.021040638591160427,0.001012420654296875,0.00044441076307095105,0.05,2,300,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 300}",-25.0298771155109,-22.163447993799203,-22.344330586060543,-23.2680203082269,-19.889778258691905,-22.53909085245789,1.6693262531822095,5
0.16348652839660643,0.011220650483971367,0.0020244598388671877,0.0015977958256759065,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",-24.45895260219024,-21.007393136196526,-21.225462323627717,-23.7374625702905,-19.30922048713793,-21.947698223888583,1.8908737709897379,2
0.42395853996276855,0.021424566381696365,0.0015353679656982422,0.0010598227710125324,0.05,3,300,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",-26.129023000771944,-22.06362790994254,-22.762817695236166,-24.790737958839998,-21.016816235814588,-23.352604560121044,1.856983762813224,10
0.17938108444213868,0.005355861123661659,0.0010534763336181641,0.00042895520718074035,0.05,4,100,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100}",-24.892377586188132,-20.359261711576032,-22.825169891134074,-23.83239443868483,-18.950287670045288,-22.17189825952567,2.2022463621347743,4
0.5848162174224854,0.043576318498124746,0.0011209487915039063,0.0003026070971346715,0.05,4,300,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300}",-25.22884670115115,-21.393097230867454,-23.748752154611196,-24.28921379480788,-19.15976823817156,-22.76393562392185,2.201878478060321,6
0.09325184822082519,0.008710082084341842,0.0009554386138916016,0.00039075036500540143,0.1,2,100,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",-24.91285131739766,-21.129582628106405,-21.729230275202188,-23.117859047973813,-19.723824103698618,-22.122669474475735,1.7703667419281275,3
0.34518728256225584,0.01938710671140905,0.0019115447998046876,0.002209098665138804,0.1,2,300,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 300}",-26.463699687541933,-22.761949411462354,-24.15035274364955,-24.12355365451275,-21.064341881587463,-23.71277947575081,1.780228485542829,12
0.16266355514526368,0.014363129204545813,0.0009476184844970703,0.0004898990618359056,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-25.556089433255472,-21.644657720156296,-22.341357727650376,-24.60858529193568,-19.79297666185751,-22.788733366971066,2.0714117365180478,7
0.45570759773254393,0.07366289333075919,0.0009935855865478515,8.273222260353336e-05,0.1,3,300,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",-25.842908862278662,-22.395777110049444,-22.641502278290375,-25.792414360082468,-20.64861032312585,-23.46424258676536,2.040820530595764,11
0.2087845802307129,0.011936387557086633,0.0026502132415771483,0.0026576935141263977,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",-25.93331874341539,-20.738799970364713,-23.489087500144315,-24.338988357043704,-19.854027198964268,-22.870844353986477,2.261115644453483,8
0.44062213897705077,0.03927966470865219,0.0011826515197753905,0.00015563336644865,0.1,4,300,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",-25.985944002167827,-21.117959856397277,-23.542945632176668,-24.90246110913033,-20.093784740224415,-23.128619068019304,2.224205823674104,9
